Track Number,Song Title,Album,Artist,Release Date,Lyrics
11,Rolling Thunder,Carnival of Light,Ride,20-Jun-94,
12,I Don’t Know Where It Comes From,Carnival of Light,Ride,20-Jun-94,"8 ContributorsI Donât Know Where It Comes From LyricsI don't know where it comes from I don't know where it comes from I don't know where it comes from Don't ask me where it comes from There's something moving through the air Years ago, it wasn't there If people feel it, they don't care Seems like everybody's sterilised A piece is missing from their lives They're never going to be surprised I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from Turned on the radio tonight And I was overwhelmed with shite I got so numb I couldn't fight What's going on, I can't define How is it everyone's resigned We're so uptight, we can't unwind I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from See Ride LiveGet tickets as low as $54You might also likeI don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from There's something moving through the air Years ago, it wasn't there If people feel it, they don't care Seems like everybody's sterilised A piece is missing from their lives They're never going to be surprised 2x: I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) I don't know where it comes from (don't ask me) Don't ask me where it comes from 5x: I don't know where it comes from I don't know where it comes from I don't know where it comes from Don't ask me where it comes from1Embed"
1,​shanty,everything is alive,Slowdive,1-Sep-23,14 ContributorsTranslationsPolskiPortuguÃªsâshanty Lyrics I was a junkman A candle burning Settled over When the night rolled in I waited for you In my dreams of you An idle moment When the night rolled in In the morning Come on over Your eyes are mourning When the night rolled in Time runs on once more Another ghost is born I feel like change will come When the night rolled inSee Slowdive LiveGet tickets as low as $55You might also likeEmbed
2,​​​prayer remembered,everything is alive,Slowdive,1-Sep-23,
3,​​​alife,everything is alive,Slowdive,30-Aug-23,"14 ContributorsTranslationsPolskiPortuguÃªsâââalife Lyrics Two lives are hard lives with you Two lives are hard lives with you Two lives are hard lives with you Hey, just look at us now Time made fools of us all We look, but we don't understand We try, but we don't look around Looking down Looking around Two lives are hard lives with you Two lives are hard lives with you Down where the river runs through The town, there's a memory of you Don't look, don't look at me now Time has got me somehow It's you and only you You and only you Two lives are hard lives with you Two lives are hard lives with you Two lives arÐµ hard lives with you Two lives are hard livÐµs with you See Slowdive LiveGet tickets as low as $55You might also like Down where the river runs through The town, there's a memory of you Don't look, don't look at me now Time has got me somehow Two hard lives are hard lives with you Two lives are hard lives with youEmbed"
4,andalucia plays,everything is alive,Slowdive,1-Sep-23,"15 ContributorsTranslationsPolskiPortuguÃªsandalucia plays Lyrics The sun's coming up And I see you're smiling I dream like a butterfly The prayers of Saint Christopher Travellers and stones And ghosts on the river Days fold into the end Know I ran the Roman head And you are the heart The prayer I remember These reggae tunes Baby, it's over Chained to the clouds You are my angel Wearing your favorite shirt French cloth and polka-dot Andalucia Plays on the stereo Remember the first winter The dark heart of everything And the dog just laid down You'll cry for all of us See Slowdive LiveGet tickets as low as $55You might also like You are my angel Wearing your favorite shirt French cloth and polka-dot Andalucia Plays on the stereo I dream like a butterfly Perfect and temporary You are my angel Wearing your favorite shirt French cloth and polka-dot Andalucia Plays on the stereo Remember the first winter The dark heart of everything And the dog just laid down And you'll cry for all of usEmbed"
5,​​​kisses,everything is alive,Slowdive,20-Jun-23,"15 ContributorsTranslationsPolskiPortuguÃªsâââkisses Lyrics Tell me, ""You're the best thing"" I tell you, ""That's what you need"" Rolling on those good looks Maybe it's just enough I know you dream of snowfields Floating high above the trees Living for the new thing Sometimes the new won't do Kisses Born desert sun Kisses Born desert sun Kisses Born desert sun Maybe there's a car there Driving away from here Taking all the ghosts, the hurt Well, everything starts anew Tell mÐµ what you need, what's right Whatever is just enough Is living with thÐµ truth, a start Maybe it's just enough See Slowdive LiveGet tickets as low as $55You might also like Kisses Born desert sun Kisses Born desert sun Kisses Born desert sun Kisses Born desert sun Kisses Born desert sun Kisses Born desert sun Kisses Born desert sunEmbed"
6,​​skin in the game,everything is alive,Slowdive,18-Jul-23,8 ContributorsTranslationsPolskiPortuguÃªsââskin in the game Lyrics I won't know and you won't say it now 'Cause you don't say and I will never ask Skin in the game Skin in the game Poison the heart won't go so far Skin in the game Skin in the game Blood in the highs and count the stars (Poison heart won't get so far) I won't know if you won't say it now 'Cause you don't say and I will never ask Skin in the game Skin in the game Well-come the highs and count the stars Skin in the game Skin in the game Poise in the heart will go so far Blood in the highs and count the sun Poise in the heart will go so farSee Slowdive LiveGet tickets as low as $55You might also likeEmbed
7,​​chained to a cloud,everything is alive,Slowdive,1-Sep-23,9 ContributorsTranslationsPolskiPortuguÃªsââchained to a cloud Lyrics Did you really understand Falling down to the beginning? Did you see it's all real? For the partâ ofâ us to letâ âem know Did you give way For theâ time to Did you see it's all real? Did you follow? Did you really understand Falling down to the beginning? Did you see it's all real? For the part of us to let âem know Did you give way For the time to Did you see it's all real? Did you give?See Slowdive LiveGet tickets as low as $55You might also like1Embed
8,​​the slab,everything is alive,Slowdive,9-Aug-23,8 Contributorsââthe slab LyricsSee Slowdive LiveGet tickets as low as $55You might also likeEmbed
1,Leave Them All Behind,Going Blank Again,Ride,3-Feb-92,"21 ContributorsLeave Them All Behind Lyrics Wheels turning around into alien grounds Pass through different times, leave them all behind Leave them all behind, leave them all behind Leave them all behind, leave them all behind Just to see we've got so far to go Until we get there, just let it flow Just let it flow, just let it flow Just let it flow, just let it flow Ah, ah-ah Ah, ah-ah Ah, ah Ah, ah See Ride LiveGet tickets as low as $54You might also like Colours shining clear fading into night Our grasp is broken, there's nothing we can do I don't care about the colours I don't care about the light I don't care about the truth I don't care about the truthEmbed"
2,Twisterella,Going Blank Again,Ride,13-Apr-92,"14 ContributorsTwisterella Lyrics Any minute she will feel the chemistry Vibrations in her brain can't ever be explained Slip away and out of sight, feel the magnets of the night The circus that you see is where you have to be If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? Feel the weight letting go Feel more lightness than you've ever known You can't see when light's so strong You can't see when light is gone If I've seen it all before Why's this bus taking me back again? If I don't need anymore Why's this bus taking me back again? See Ride LiveGet tickets as low as $54You might also like ""Look at Twisterella, she hasn't got a fella""Embed"
3,Not Fazed,Going Blank Again,Ride,9-Mar-92,"8 ContributorsNot Fazed LyricsI won't be a monkey in anyone's zoo, ah-ah-ah And I won't get fazed whatever you do, ah-ah-ah Ah-ah-ah, ah-ah-ah... Ah-ah-ah, ah-ah-ah... Hit him again, he's crazy, hit him again, he's crazy, ah-ah-ah Hit him again, he's crazy, hit him again, he's crazy, ah-ah-ah Ah-ah-ah, ah-ah-ah... Ah-ah-ah, ah-ah-ah...See Ride LiveGet tickets as low as $54You might also likeEmbed"
4,Chrome Waves,Going Blank Again,Ride,9-Mar-92,"9 ContributorsChrome Waves Lyrics One hundred years from now See the chrome, can't hear it move I'll meet you on the way down Wrapped around somebody's hand (Ah, ah) We've all moved on from here (Ah, ah) The colour's running dry (Ah, ah) A drowsy line of wasted time (Ah, ah) Bathes my open mind This strange machinery Is keeping you from seeing me I'll meet you on the way down Can't stay, unbearable to go (Ah, ah) We've all moved on from here (Ah, ah) The colour's running dry (Ah, ah) A drowsy line of wasted time (Ah, ah) Bathes my open mind See Ride LiveGet tickets as low as $54You might also like Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Embed"
5,Mouse Trap,Going Blank Again,Ride,9-Mar-92,"8 ContributorsMouse Trap Lyrics Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Ah, ah-ah-ah Ah, ah, ah, ah, ah Running away, you're lost for words again Now you've got all what you wanted, are you really satisfied? Tricky scenes, tricky little dreams The earth spins, my head spins me back round to you Ah, ah Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Ah, ah-ah Ah, ah Ah, ah-ahSee Ride LiveGet tickets as low as $54You might also likeEmbed"
6,Time of Her Time,Going Blank Again,Ride,9-Mar-92,"10 ContributorsTime of Her Time Lyrics She turns her face to the wall, then she sees her sorrow there Puts out her hand to touch it again and again Fingernail marks in the morning, wallpaper silhouettes The signs of her yesterdays can't ever be wiped away She thought that I would care Thought that I'd be there, think again Your face I've seen in visions in silver rippling sky No feelings, reactions as I pass you by Weeks compressed to minutes, this time is her time Let me just once, be cruel without being kind She thought that I would care Thought that I'd be there, think again She thought that I would care Thought that I'd be there, think again, no more chains See Ride LiveGet tickets as low as $54You might also likeEmbed"
7,Cool Your Boots,Going Blank Again,Ride,9-Mar-92,"12 ContributorsCool Your Boots Lyrics""Even a stopped clock gives the right time twice a day."" Across 50 states of mind, I didn't feel inclined You waited yesterday, I didn't come your way Now time is moving on, I know it won't be long 'Til I'm shuffling away with nothing more to say When I'm printed on your wall, my face won't change at all The smile beneath my hair hangs lifeless in the air Like a net in water I'm running through it all And I'm shuffling away with nothing more to say It's been preying on my mind and now I'm just resigned You smile for yesterday, I think I'm in the way You seem concerned and say I should slow down But how can I see the stars if my feet are on the ground? See Ride LiveGet tickets as low as $54You might also like ""Cool your boots."" ""Cool your boots.""1Embed"
8,Making Judy Smile,Going Blank Again,Ride,9-Mar-92,"11 ContributorsMaking Judy Smile LyricsThere's a picture on the door, madman smiling from the floor It's a good day for a drive if you think you will survive Just my way of saying hi 'cause I knew I wouldn't write And the seat will fit one more, so there's room enough for four Your words they flatter me, you fill my head with tea Please let me take it one more mile The galaxy may burn if I can't make it turn I hope I'm making Judy smile I hope I'm making Judy smileSee Ride LiveGet tickets as low as $54You might also likeEmbed"
9,Time Machine,Going Blank Again,Ride,9-Mar-92,"8 ContributorsTime Machine LyricsWaste no more energy, no more time Step into the time machine aboard this flight Time to go, it's sad that you're not here To open up your eyes and watch me dissapear Carried away, imaginations are running wild Losing control, I'm landing back in this year Did I ever move? Did I dissapear? If I could move through time I'd go back and put it right Carried away, imaginations are running wildSee Ride LiveGet tickets as low as $54You might also likeEmbed"
10,OX4,Going Blank Again,Ride,9-Mar-92,"14 ContributorsOX4 LyricsNever been so far away I don't think I want to stay in this room anymore If I crawl across the floor Then I'd be closer to that door, but it's too far Never been so far away Just lost the last thought in my head, what happens now? Some fantasy you've been Pick up the pieces in my mind, I'm going... ...I'm going home...See Ride LiveGet tickets as low as $54You might also like1Embed"
1,Peace Sign,Interplay,Ride,11-Jan-24,"5 ContributorsPeace Sign Lyrics Shine, shining, the thought in your mind As you're racing away from the light Tonight, the feeling inside Is a tension that's outside of time As you climb, the face of the rock Has a feeling that's winding you tight It's alright, your instincts are always right Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there Think I'm ready, yÐµs I'm ready This is the window and I'm not waiting I'm not waiting, with no direction I'm all rÐµady for satiation No returning, no way home And I think I might lose my phone and In the moment, now I feel, and finally I'm real See Ride LiveGet tickets as low as $54You might also like Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there La, la-la-la, la-la-la, la-la-la-la La-la-la, la-la-la, la-la-la-la Shine, shining, the thought in your mind As you're racing away from the light Tonight, the feeling inside Is a tension that's outside of time As you climb, the face of the rock Has a feeling that's winding you tight It's alright, your instincts are always right Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there Give me a peace sign Throw your hands in the air Give me a peace sign Let me know you're there La, la-la-la, la-la-la, la-la-la-la La-la-la, la-la-la, la-la-la-la La-la-la, la-la-la, la-la-la-la La-la-la, la-la-la, la-la-la-laEmbed"
2,Last Frontier,Interplay,Ride,15-Feb-24,"4 ContributorsLast Frontier Lyrics This time around I think we found the place from before If the spirit moves you Now you can come back to the place from before You've always known you can find me In the placeâfromâbefore Theâmore we changeâwe just stayâthe same Like the place from before Do-do-do-do-do Do-do-do-do-do-do-do Do-do-do-do-do Do-do-do-do-do-do-do This time around I hope I won't drown in the fallout But if we don't look down We won't hit the ground or get called out We don't get it now, and we never will And I guess that's fine It's in front of our eyes Has been all the time, but it's hard to define See Ride LiveGet tickets as low as $54You might also like Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Seeing eye to eye Without losing your way Oh Without losing your way I lost my way trying to care about us And the places we found here I lost my way when I was safe In the middle of my darkest hour I lost my way when I found the flow Was it good, was it bad? I don't know I never could tell And I'll never know Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Ways of leaving, ways to say goodbye Ways of seeing, seeing eye to eye Seeing eye to eye Seeing eye to eyeEmbed"
3,Light in a Quiet Room,Interplay,Ride,29-Mar-24,"3 ContributorsLight in a Quiet Room Lyrics Fading light in a quiet room And the darkness is coming soon I can feel a sense of relief Inner space far beyond belief Listen hard to the sounds of you Far away but still coming through Don't worry, now it's all in hand In a space far beyond any plan A light in a quiet room A light in a quiet room A light in a quiet room A light in a quiet room Tell me the story Tell me, before it gets too late I never took any good advice I rode my luck for most of my life I didn't think that the same rules applied Never thought I would ever die Now I'm fading in a quiet room I loved you all and I'm leaving too soon Finding calm in a moment of fear Making time, now the moment is here See Ride LiveGet tickets as low as $54You might also like A light in a quiet roomEmbed"
4,Monaco,Interplay,Ride,14-Mar-24,"3 ContributorsMonaco Lyrics This hope or despair Who devised all this torment? Whoâs ringing in the backward bell? Peripheral vision Rise up all lain dormant Fight before your strength is frail If this is being (Can you feel it?) Itâs no Creation that I know If this is fear (Can you hear it?) Itâs time to go, to make your bones Over the edge we go (Can you hear it?) This pressure, this pressure (Can you feel it?) Is this the life I own? Into the no mind Of momentary liberation Broken by these pills prescriptions for relief Broken by this country WÐµ get smashed into piecÐµs Better take these pills cause everythingâs for sale See Ride LiveGet tickets as low as $54You might also like If this is being (Can you feel it?) Itâs no Creation that I know If this is fear (Can you hear it?) Itâs time to go To make your bones Over the edge we go (Can you hear it?) This pressure, this pressure (Can you feel it?) Is this the life I own? If they go We burn Monaco If they go We burn Monaco If they go We burn Monaco (Is this all I own?) If they go (Is this all I own?) We burn Monaco If this is being (Can you feel it?) Itâs no Creation that I know If this is fear (Can you hear it?) Itâs time to go To make your bones Over the edge we go (Can you hear it?) This pressure, this pressure (Can you feel it?) Is this the life I own? This is the life I own This is the life I own This is the life I ownEmbed"
5,I Came to See the Wreck,Interplay,Ride,29-Mar-24,"3 ContributorsI Came to See the Wreck Lyrics I don't know Who I've known Where I'm going I don't know Where I've been Where I'm going I thought I heard a voice cry, now we're here To be forgotten To be forgotten I thought I heard a voice cry, now we're here Some people can't be forgotten Some words can't be forgotten Streets I've known Enchant me Back to them I don't know What grows Between us I thought I heard a voice cry, now we're here To bÐµ forgotten To be forgotten I thought I hÐµard a voice cry, now we're here Some people can't be forgotten Some words can't be forgotten See Ride LiveGet tickets as low as $54You might also like The system alerts a system failure The system alerts a system failure The system alerts a system failure This is a system breakdown This is a system breakdown Rage, body and soul Rage, body and soul Rage, body and soul Rage, body and soul Rage, body and soul Rage, body and soul To arrive where we started Rage, body and soul Rage, body and soul To arrive where we started Rage, body and soul Rage, body and soul To arrive where we started Rage, body and soul Rage, body and soul To arrive where we started Rage, body and soul Rage, body and soul To arrive where we started Rage, body and soul Rage, body and soul To arrive where we startedEmbed"
6,Stay Free,Interplay,Ride,29-Mar-24,"3 ContributorsStay Free Lyrics Stay free, stay free, if you can Stay free, stay golden Stay free, turn away from theâ darknessâ surrounding you Stay free,â stay awake, and don't surrender Don't surrender Stayâ free, stay golden, if you can Turn away from the darkness Surrender to the light Stay free, if you can, if you can Stay free, stay golden Turn away from the darkness Surrender And now dream on Hear me, my time Night time, every time Tongue tied in a lucid dream In a lucid dream Stay free, stay golden When your time has come When your time has come Ooh Stay gold, stay away from the darkness Turn away from the darkness OoohSee Ride LiveGet tickets as low as $54You might also likeEmbed"
7,Last Night I Went Somewhere to Dream,Interplay,Ride,29-Mar-24,"4 ContributorsLast Night I Went Somewhere to Dream Lyrics Last night I went, yeah I went somewhere, yeah I went somewhere to dream Last night I went, yeah I went somewhere, yeah I went somewhere to dream If I dream it, I can see it If I see it, I can feel it If I feel it, I can be it I can be it if I dream it Last night I went, yeah I went somewhere, yeah I went somewhere to dream When the morning comes I'm always out of time Reaching for the pieces I left inside my mind My cards are all laid out I'm waiting for a sign From the other side Or maybe mine? See Ride LiveGet tickets as low as $54You might also like Last night I went, yeah I went somewhere, yeah I went somewhere to dream Last night I went, yeah I went somewhere, yeah I went somewhere to dream Running from a life That's running out of time Believing in a future That won't be yours or mine The wheel of suffering Can only turn again With diminishing returns For the same old men Last night I went, yeah I went somewhere, yeah I went somewhere to dream Last night I went, yeah I went somewhere, yeah I went somewhere to dream If I dream it, I can see it If I see it, I can feel it If I feel it, I can be it I can be it if I dream it If I dream it, I can see it If I see it, I can feel it If I feel it, I can be it I can be it if I dream itEmbed"
8,Sunrise Chaser,Interplay,Ride,29-Mar-24,3 ContributorsSunrise Chaser Lyrics Round 'n' round 'n' round we go Steam rolled into cracks we've grown Awakening robbed by treachery A signature of shameless greed It's all the same to me (Coming down) (Early riser) Last call for you (Hear no sound) (Sunrise chaser) We'll be stronger than When all this started This will be our day We'll be wiser than When all this started (Coming down) (Early riser) We'll never fade away (Hear no sound) (Sunrise chaser) See Ride LiveGet tickets as low as $54You might also like We're all walking each other home We'll be stronger than When all this started We'll never fade away We'll not fade away (All away) (All away) We'll never fade away (All away) (All away) We'll not fade away (Early riser) (Sunrise chaser) We'll never fade away Embed
9,Midnight Rider,Interplay,Ride,29-Mar-24,"3 ContributorsMidnight Rider Lyrics Tonight, on a midnight ride Tonight is everything I'm a midnight rider On my way to an unknown plane Close my eyes Open up the doors of perception in my mind Go deep inside Make way For the midnight ride Tonight, on a midnight ride Tonight is everything I'm a midnight rider On my way to an unknown plane On a midnight ride I don't remember my name I'm a midnight rider I'm never gonna be the same In the end you should ignore all imaginary friends Begin again, make way Let the unknown in tonight Let the unknown in tonight See Ride LiveGet tickets as low as $54You might also like Tonight, on a midnight ride Tonight is everything I'm a midnight rider On my way to an unknown plane On a midnight ride I don't remember my name I'm a midnight rider I'm never gonna be the same Close my eyes Open up the doors of perception in my mind Go deep inside Make way For the midnight ride tonightEmbed"
10,Portland Rocks,Interplay,Ride,29-Mar-24,"3 ContributorsPortland Rocks Lyrics When this battle is over Who will wear the crown? I'm so tired of waiting Tired of it wearing me down What are we fighting over? Who wins if it's destroyed? What is the prize if you win it? Nothing lives in a void Ah, why do I feel this way? Like I'm hanging off the edge of the world Hanging on every word Ah, why do I feel this way? Like I'm hanging off the edge of the world Hanging on every word you say When this battle is over Are you gonna win the war? The one you fight in the small hours Wondering what was it for You have nothing to offer ThÐµre's nowhere for you to go BÐµcause there's nothing inside you Anybody wants to know See Ride LiveGet tickets as low as $54You might also like Ah, why do I feel this way? Like I'm hanging off the edge of the world Hanging on every word you say Why do I feel this way? Like I'm hanging off the edge of the world Hanging on every word Ah, why do I feel this way? Like I'm hanging off the edge of the world Hanging on every word you say Ah, ah Ah, ah Ah, ah Ah, ahEmbed"
11,Essaouira,Interplay,Ride,29-Mar-24,"3 ContributorsEssaouira Lyrics More, information More, information There's more, information There's more, information There's more, information There's more, information Machines in the monkey Monkey in the machines Monkey in the machines Machines in the monkey Monkey in the machines As the possible explodes Now the song's gone forever Now the song's gone forever As the possiblÐµ explodes No soul will be lÐµft alone No soul will be left alone Make, fake, take an end To make a beginning I'll leave my body On distant shores I'll make, fake, take an end To make a beginning I'll leave my body On distant shores See Ride LiveGet tickets as low as $54You might also like When you get blown up, you get blown up so big When you get blown up, you end up paper thin When you get blown up, you get blown up so big When you get blown up, you end up paper thin As the possible explodes Now the song's gone forever Now the song's gone forever As the possible explodes No soul will be left alone No soul will be left alone As the possible explodes As the possible explodes Now the song's gone forever Now the song's gone forever As the possible explodes As the possible explodes Now the song's gone forever Now the song's gone forever Machines in the monkey (As is the dancer) (So is the dance) (Now the song's gone forever) (Now the song's gone forever) Machines in the monkey (As is the dancer) (So is the dance) (Now the song's gone forever) (Now the song's gone forever) Machines in the monkeyEmbed"
12,Yesterday Is Just a Song,Interplay,Ride,29-Mar-24,"3 ContributorsYesterday Is Just a Song Lyrics We don't have to think about tomorrow On those days when everything feels wrong Sometimes itâs too much to leave your comforts But remember what's in the past is gone And yesterday is just a song I've stopped overthinking whatâs been said Everyone's got troubles of their own Sometimes it's too much but I don't stop living Good or bad, there's not much there that's real And yesterday is no big deal Time runs and passes Good times come in flashes Sadness seeps in slow Weighs you down, gets in your bones But nothing's as it seems And you'll never know what is But you can change a feeling In a moment just like this Here we are today Tonightâs in view Wanting more than this feels wrong But you know Iâm still greedy I'll always be this way First I grasp a moment, then itâs gone And yesterday is just a songSee Ride LiveGet tickets as low as $54You might also likeEmbed"
