Track Number,Song Title,Artist,Release Date,Lyrics,Album Name
2,Taste,Ride,17-Sep-90,"6 ContributorsTaste LyricsFloating like a smoke ring, it cannot be regained Now it's touched, it's broken The taste just slips away, the taste just slips away I just want to know The taste just slips away, the taste just slips away I just want to know I don't want to tell you what you want to know I don't want to tell you As hard as right can be, it can feel so wrong Too much to leave, now it's all gone wrong It's all gone wrong but what's right or wrong? I don't know, I don't know the taste just slips awaySee Ride LiveGet tickets as low as $54You might also likeEmbed",Fall [EP]
3,Here And Now,Ride,17-Sep-90,"6 ContributorsHere And Now LyricsThe bridge holds back the sky, can't hold back what's inside And the train above me sounds like the music in my head My thoughts are undecided, I think it so I hide it And the train rushes past like a day gone too fast I wish that I was stronger, could keep my head for longer I sit and watch my fear but it won't disappear I can dream myself away, lose myself for days And the train rushes past like a day gone too fast All I know, all I know, all I know is here and now All I know, all I know, all I know is here and now And the train rushes past like a day gone too fast And the train rushes past like a life gone too fastSee Ride LiveGet tickets as low as $52You might also like1Embed",Fall [EP]
4,Nowhere,Ride,17-Sep-90,"5 ContributorsNowhere LyricsI Should have known better, than to expect it all You want everything and you end up grabbing at air I had so much to give So much hope, we held each other high But the heroes are gone and all that's left is you and me I learned the hard way That life should be easy But I want you to know it was hard to show The things that I know now All that's left is you and me And here we are Nowhere All that's left is you and me And here we are NowhereSee Ride LiveGet tickets as low as $54You might also likeEmbed",Fall [EP]
1,Seagull,Ride,15-Oct-90,"17 ContributorsSeagull Lyrics My eyes are sore, my body weak My throat is dry, I cannot speak My words are dead Falling like feathers to the floor Falling like feathers to the floor, ah You gave me things I'd never seen You made my life a waking dream But we are dead Falling like ashes to the floor Falling like ashes to the floor, ah Definitions confine thoughts, they are a myth Words are clumsy, language doesn't fit But we know there's no limit to a thought We know there's no limits See Ride LiveGet tickets as low as $54You might also like Now it's your turn to see me rise You burned my wings, but watch me fly Above your head Looking down I see you far below Looking up you see my spirit glow, ah 6Embed",Nowhere
2,Kaleidoscope,Ride,15-Oct-90,"10 ContributorsKaleidoscope Lyrics I know that you are thinking 'bout me now I can feel it but I don't know how When I'm gone you will see so clear That I left some words unspoken here All these words that I have said float around you, fill your head All the times we laughed and cried, I never thought I'd leave you behind I don't want you to understand You will never hold me in your hand I don't want you to see my face When I fade away and leave this place All these songs that fill my head dance around you when I'm dead All the love I ever knew, kaleidoscopes around to you All these words that I have said float around you, fill your head All the times we laughed and cried, I never thought I'd change your mind All these songs that fill my head dance around you when I'm dead All the love I ever knew, kaleidoscopes around to youSee Ride LiveGet tickets as low as $52You might also like1Embed",Nowhere
3,In a Different Place,Ride,15-Oct-90,"10 ContributorsIn a Different Place Lyrics Blowing bubbles lying down waiting for the rain to fall Laughing at the people, wonder why they always rush, never slow down And we're smiling when we're sleeping And we're smiling when we're waking Even if the rain falls down and all the sky turns cold I will feel fine Thunder roared and lightning flashed, but you and I were in a different time And we're smiling when we're sleeping And we're smiling when we're waking Floating in and out of time, in and out of space No one else can touch us now, we're in a different place See Ride LiveGet tickets as low as $54You might also likeEmbed",Nowhere
4,Polar Bear,Ride,15-Oct-90,"12 ContributorsPolar Bear Lyrics She knew she was able to fly because when she came down She had dust on her hands from the sky, she said I touched a cloud She felt so high, the dust made her cry She knew she could fly like a bird but when she said ""Please raise the roof higher"" nobody heard, they never noticed a word The light bulbs burn, her fingers will learn Ah, a-ha, a-ha Ah, a-ha, a-ha Why should it feel like a crime? If I want to be With you all the time, why is it measured in hours? You should make your own time, you're welcome in mine She knew she was able to fly because when she came down She had dust from her hands on the sky, she said I touched a cloud Her fingers will learn, the lightbulbs burn See Ride LiveGet tickets as low as $52You might also like Ah, a-ha, a-haEmbed",Nowhere
5,Dreams Burn Down,Ride,15-Oct-90,"14 ContributorsDreams Burn Down Lyrics Lying under sky laughing at everything I say And pulls me under, there's no time to resist Lying on the floor the tears are falling down and more Her eyes speak loud but actions speak the best Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every time She's effortlessly cool but circumstances can be cruel And sometimes you must accept that you can't get what you want We fill up our days and nights, we fill up the gaps in our empty little lives But we know we are doomed the moment we walk out the room Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every timeSee Ride LiveGet tickets as low as $54You might also like1Embed",Nowhere
6,Decay,Ride,15-Oct-90,"12 ContributorsDecay Lyrics We have short time to stay Our night is slipping far away Caught up within bad memories Our growth seems certain to decay Now this feeling's so alive But, as you or anything, we die We die, we die Let's stay here for a while Eyes so round and bright we gently smile Live for this moment, not the past Why do we always fall so fast? Now this feeling's so alive But, as you or anything, we die We die, we die, we die, we die See Ride LiveGet tickets as low as $54You might also like We die, we die, we die, we die We die, we die, we die2Embed",Nowhere
7,Paralysed,Ride,15-Oct-90,"14 ContributorsParalysed Lyrics Catch me in another dream, I'm pulled away Hold me, gently take me through another day However hard I try, I crawl when I should fly I wander through my days, pulled a million ways Help me feel the forces I can't touch, I'm reaching out Help me to learn until I know too much, I'm still without These circles pulling near, hold me in my fear And sleeping I can't hide, I'm paralysed inside Paralysed, paralysed, paralysed, paralysed Paralysed, paralysed, paralysed, paralysed See Ride LiveGet tickets as low as $54You might also like1Embed",Nowhere
8,Vapour Trail,Ride,15-Oct-90,"20 ContributorsVapour Trail Lyrics First you look so strong, then you fade away The sun will blind my eyes, I'll love you anyway Thirsty for your smile, I watch you for a while You are a vapour trail in a deep blue sky La la la la, la La la la la, la La la la la, la La la la la Tremble with a sigh, glitter in your eye You seem to come and go, I never seem to know And all my time is yours as much as mine We never have enough time to show our love La la la la, la La la la la, la La la la la, la La la la love See Ride LiveGet tickets as low as $54You might also like8Embed",Nowhere
1,Unfamiliar,Ride,4-Mar-91,7 ContributorsUnfamiliar LyricsYou're rushing for a time that you don't know Curious of what your feelings are you go Losing sight of that familiar touch you know Sinking into unknown beauty for a day Living everything as it comes and goes The only times you know have passed away Now you're looking back where everything seems here Scared of letting all that comfort disappear Losing sight of that familiar touch you know Sinking into unknown beauty for a day Living everything as it comes and goes The only times you know have passed awaySee Ride LiveGet tickets as low as $54You might also like1Embed,Today Forever [EP]
2,Sennen,Ride,4-Mar-91,"9 ContributorsSennen LyricsEyes aflame, she ran away I will be where I want to be Need some space to be alone Need a place to call my own Can't stay here another day Think awhile, walk away People wonder where she's gone All they see's a strange shaped stone They'll never invade her now They'll never invade her now They'll never invade her now They'll never invade her nowSee Ride LiveGet tickets as low as $54You might also likeEmbed",Today Forever [EP]
3,Beneath,Ride,4-Mar-91,7 ContributorsBeneath LyricsRise above the rain For all our sins we're not to blame This time will pass away not yours or mine And what we tried so hard to find Is already in our mind Stand beneath the sun And know that soon our time will come And we can be the way we want to be The sun will set And then the sun will rise We watch it pass across the skies So beautiful and warm As we forget the stormSee Ride LiveGet tickets as low as $54You might also likeEmbed,Today Forever [EP]
4,Today,Ride,4-Mar-91,6 ContributorsToday LyricsWake up see the sun What's done is done Today Last thing I remember I don't know I want her I don't want her I need her I don't need her TodaySee Ride LiveGet tickets as low as $54You might also likeEmbed,Today Forever [EP]
1,Spanish Air,Slowdive,2-Sep-91,"10 ContributorsSpanish Air Lyrics Screams that seem unreal Shouts follow the sins There's nothing here for me now The wind blows for as far as I can see I long for the sun The midland air For all that I have There's written in waves I know that now There's left to be seen I know that I've lost him I'm leaving here Fastest knife a sign Feels so far away There's nothing here for me now The clouds fly, so far I'm lost there now I long for the sun The midland air For all that I have Is written in waves And now that I know Is left to be seen And now that I've lost him I'm leaving hereSee Slowdive LiveGet tickets as low as $55You might also like3Embed",Just for a Day
2,Celia’s Dream,Slowdive,2-Sep-91,"13 ContributorsCeliaâs Dream Lyrics She flies She's gone to ride an angel's breath And gone to taste a dream And every time I call her A shadow crawls away But she takes She laughs at all there is And everything she owes me She gives She told me that she loved me Love, just for a day And all the time I feel her I feel her fade away But she takes She gives him all the fakes And everything feels good And clouds like shadows pass She's passing like a day See Slowdive LiveGet tickets as low as $55You might also like She takes She gives him all the years And everything feels good And clouds like shadows pass She's passing like a day4Embed",Just for a Day
3,Catch the Breeze,Slowdive,2-Sep-91,"13 ContributorsTranslationsTÃ¼rkÃ§eCatch the Breeze Lyrics Feels like all the days are gone Just catch the breeze, you know you've had your fun Rain washes waves down And I, I want the world to cry And I, I watch the winds you fly You can believe in everything You can believe it all Hey, are you feeling something new? Just watch the rain, it helps in all you do The breeze, it blows, it blows everything And I, I want the world to cry And I, I want the sun to shine You can believe in everything You can believe it all See Slowdive LiveGet tickets as low as $55You might also like1Embed",Just for a Day
4,Ballad of Sister Sue,Slowdive,2-Sep-91,"16 ContributorsBallad of Sister Sue Lyrics Donât tell me Iâm lost if I donât seem too sure what to wear Donât tell me Iâm lost if I donât seem too sure what to wear Thereâs a fire in my head and Iâm blinded by all I canât see Thereâs a fire in my head and Iâm blinded by all I canât see Dancing to nowhere, Iâm losing my head among thieves Dancing to nowhere, Iâm losing my head among thieves And the man at the bar looked like all that he needed was gone And the man at the bar looked like all that he needed was gone Sister, I've lost all the feeling I'm lost and I'm sold I lay down beside you Sister, I'm blinded It's only my eyes I've sold them before The man said the drink in his hand would be all he required The man said the drink in his hand would be all he required And it seemed much the same when he pointed the gun at his head And it seemed much the same when he pointed the gun at his head Filled it with lead It made so much noise that I checked out of town, yeah Blood on my face and the words of a sage in my mind (It made so much noise that I checked out of town, yeah) See Slowdive LiveGet tickets as low as $55You might also like Sister, I've lost all the feeling I'm lost and I'm sold I lay down beside you Sister, I'm blinded It's only my eyes I've sold them before6Embed",Just for a Day
5,Erik’s Song,Slowdive,2-Sep-91,,Just for a Day
6,Waves,Slowdive,2-Sep-91,"13 ContributorsWaves Lyrics Watch the waves so far away They're washing 'cross the paths that I have made Leaving all my sins, I turn away Like soaring birds, I watch my sorrows play Don't you know, I've left and gone away You're knocking on the door I closed today And everything looks brighter The waves, they just soothe my pain away It felt so good to see the sun I'll choose my time before I choose the one Floating 'cross the waves, the silence runs My thoughts can go, but now, my sorrow's done Don't you know, I've left and gone away You're knocking on the door I closed today And everything looks brighter The waves they just soothe my pain awaySee Slowdive LiveGet tickets as low as $55You might also like1Embed",Just for a Day
7,Brighter,Slowdive,2-Sep-91,"11 ContributorsBrighter Lyrics She drifts in the sky, yeah The birds made of grain She can now see the sun And everyone said, yeah You're better off dead but She didn't know we were alone And when it all looks brighter Just turn around and smile When it's looking better Just leave it all to time Just leave it all to time She said don't you know, yeah There's people in places And places is what made her see And everyone said, yeah She's better off dead but She looked like she wanted to live And when it all looks brighter Just turn around and smile When it's looking better Just leave it all to time Just leave it all to time See Slowdive LiveGet tickets as low as $55You might also like When it all looks brighter Just turn around and smile And when it's looking better Just leave it all to time Just leave it all to time Just leave it all to time Just leave it all to time2Embed",Just for a Day
8,The Sadman,Slowdive,2-Sep-91,12 ContributorsThe Sadman Lyrics I know there is It all away It all goes round The house today The reason why You're losing time The sadman calls He calls for you He cries for you (..need to be..) He cries for you The sadman calls He calls for me The things you say The songs that shine For another time I count the ways Your smile's the place The sadman calls He calls for you He cries for you You hurt my feelings You're losing me The sadman cries He cries for meSee Slowdive LiveGet tickets as low as $55You might also likeEmbed,Just for a Day
9,Primal,Slowdive,2-Sep-91,"11 ContributorsPrimal Lyrics Today, I watch the colours fade Watch the games you play And when it all falls down, yeah Don't forget the days When the sunshine fades away Remember what they say Remember what they say To the right time She calls to, to the day Every time she says she's falling And every time she called us friends Cause To the right time She calls to, to the day And every time she says she's falling And every time she called us friends I can't believe Can't believe, disgusted Disgusted, I can't believe it Disgusted, can't believe it Can't believe itSee Slowdive LiveGet tickets as low as $55You might also likeEmbed",Just for a Day
1,only shallow,my bloody valentine,4-Nov-91,"66 ContributorsTranslationsEspaÃ±olPortuguÃªsonly shallow Lyrics Sleep like a pillow, no one there Where she won't care, anywhere Soft as a pillow, touch her there Where she won't dare, somewhere Sweet like a mallow, softer, fair Feel like you could swallow her Sleep, going to tremble, she's not square Soft like there's silk everywhere Sleep as a pillow, comfort there Where she won't dare, anywhere Look in the mirror, she's not there Where she won't care, somewhereYou might also like23Embed",loveless
2,loomer,my bloody valentine,4-Nov-91,"31 ContributorsTranslationsEspaÃ±olPortuguÃªsloomer Lyrics Tiptoe down to the lonely places Where you going now, don't turn around Little girls in their party dresses Didn't love anything there Pretty boys with their sunshine faces Carrying their heads down Tiptoe down to the lonely places Where you going now, don't turn aroundYou might also like10Embed",loveless
3,touched,my bloody valentine,4-Nov-91,,loveless
4,to here knows when,my bloody valentine,4-Nov-91,"37 ContributorsTranslationsPortuguÃªsto here knows when Lyrics Kiss Your fear Your red button Falls from my mouth Slip Your dress Over your head It's been so long Move, move Move, move Move, move Move, move Move On top Because that way You touch her, too Turn Your head Come back again To here knows when You might also like Move, move Move, move Move, move Move, move Move, move Move, move Move, move Move, move 7Embed",loveless
5,when you sleep,my bloody valentine,4-Nov-91,"86 ContributorsTranslationsEspaÃ±olPortuguÃªswhen you sleep Lyrics When I look at you Oh, but I don't know what's real Once in a while And you make me laugh And I'll sleep tomorrow And it won't be long Once in a while Then you take me down When you walk away When you say ""I do"" Oh, but I don't believe in you I can't forget it, ooh When you sleep tomorrow And it won't be long Once in a while When you make me smile And you turn your long blonde hair When I look at you Oh, but I don't know what's real Once in a while And you make me laugh And I'll sleep tomorrow And it won't be long Once in a while Then you take me down When you walk awayYou might also like38Embed",loveless
6,​i only said,my bloody valentine,4-Nov-91,"27 ContributorsTranslationsEspaÃ±olPortuguÃªsâi only said Lyrics See you there, run away, you said To go you were there, you were there To lay underneath the red sky there To lay under her, I want her there See you there, under her, and under To go, you were there, I only said To lay under her and I'm slow, oh To lay under her, I've grown away, ohYou might also like7Embed",loveless
7,come in alone,my bloody valentine,4-Nov-91,29 ContributorsTranslationsEspaÃ±olcome in alone Lyrics Come in alone You'll love to let go And I'll turn you around When your hopes gave me doubts (Oh) Run and hide Why I don't need to believe What you see To look up and around You were gone Words came out to a sound Feel I'm alive You will see Why and why Felt like crying Over her I will go To the wall (Oh) Run from some You might also like Come in alone You'll love to let go And I'll turn you around When your hopes gave me doubts (Oh) Run and hide10Embed,loveless
8,sometimes,my bloody valentine,4-Nov-91,"58 ContributorsTranslationsPortuguÃªssometimes Lyrics Close my eyes, feel me now I don't know how you could not love me now You will know, and her feet down to the ground Over there, and I want true love to know You can't hide, oh no, from the way I feel Turn my head into sound I don't know when I lay down on the ground You will find the way it hurts to love Never cared, and the world turned hearts to love You will see, oh, now, oh, the way I do You will wait, see me go I don't care, when your head turned all alone You will wait, when I turn my eyes around Overhead, when I hold you next to me Overhead, to know, oh, the way I see Close my eyes, feel me how I don't know, maybe you could not hurt me now Here alone, when I feel down too Over there, when I await true love for you You can hide, oh, now, the way I do You can see, oh, now, oh, the way I doYou might also like38Embed",loveless
9,​blown a wish,my bloody valentine,4-Nov-91,32 ContributorsTranslationsEspaÃ±olâblown a wish Lyrics Midnight wish Blow me a kiss Holding onto you Make like this Trying to pretend it's true Ooh Show me all your favorite things Show you all mine too Wake and wish I'll give them all to you Ooh Hold on to your promises Hold on to mine too Caught like this I'll turn it in with you Ooh Fall apart my beating heart Nothing left to do Once in love I'll be the death of you OohYou might also like10Embed,loveless
10,what you want,my bloody valentine,4-Nov-91,"34 ContributorsTranslationsEspaÃ±olwhat you want Lyrics What I do I say but I can't get far away Oh, I go back to a memory again What you want but you know that I'm alive Then I'll go back to you, don't you know how I feel inside? When you come down blue But I do, I do, I do Oh, I come back to the one who calls my name out What you want, don't you know that I can smile? Then I go back to you and then you make him go inside Turn around and smile No, they can't see through your eye Could I fall into the one who calms my mind? Come back down, no, I can't believe my mind Then it surrounds you, don't you know that I asked why When you come down blue But I do, I do, I do Oh, I come back to the one who calls my name out What you want, let me know that I'm alive Then I go back to you and then you make him go inside You might also like8Embed",loveless
11,soon,my bloody valentine,4-Nov-91,"35 ContributorsTranslationsEspaÃ±olsoon Lyrics Wake up, don't fear I want to love you Yeah, doll of pain I let you get to me Yeah, yeah Come back, don't be Afraid of me soon That I'll harm you Your eyes are blue Blue jewels Yeah, yeah Come back, have faith Someone like you Can find the reason Of what I did to you Yeah, yeah Wake up, don't fear I want to love you Yeah, doll of pain I let you get to me Yeah, yeahYou might also like7Embed",loveless
